2025-12-27T10:57:37.887319457Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:37.887489142Z [inf]  ✅ [app.js] express loaded
2025-12-27T10:57:37.887495295Z [inf]  ✅ [app.js] cors loaded
2025-12-27T10:57:37.887501700Z [inf]  ✅ [app.js] helmet loaded
2025-12-27T10:57:37.887507859Z [inf]  ✅ [app.js] express-rate-limit loaded
2025-12-27T10:57:37.887514838Z [inf]  ✅ [app.js] express-session loaded
2025-12-27T10:57:37.887521659Z [inf]  ✅ [app.js] connect-session-sequelize loaded
2025-12-27T10:57:37.887530916Z [inf]  ✅ [app.js] dotenv configured
2025-12-27T10:57:37.887537054Z [inf]  🛠️ [app.js] About to load models...
2025-12-27T10:57:37.887543686Z [inf]  ✅ Sequelize initialized for production environment
2025-12-27T10:57:37.887550843Z [inf]  📍 Database: railway at mysql.railway.internal:3306
2025-12-27T10:57:37.887557771Z [inf]  ✅ [app.js] models loaded
2025-12-27T10:57:37.887559985Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:37.887566381Z [inf]  🛠️ [app.js] About to load middleware...
2025-12-27T10:57:37.887566498Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:37.887572420Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:37.887574621Z [inf]  ✅ [app.js] logger loaded
2025-12-27T10:57:37.887578838Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:37.887582555Z [inf]  ✅ [app.js] errorHandler loaded
2025-12-27T10:57:37.887590092Z [inf]  ✅ [app.js] requestValidator loaded
2025-12-27T10:57:37.887596892Z [inf]  🛠️ [app.js] About to load routes...
2025-12-27T10:57:37.887602851Z [inf]  🔧 [movieRoutes.js] File loading started...
2025-12-27T10:57:37.887608643Z [inf]  ✅ [movieRoutes.js] express loaded
2025-12-27T10:57:37.887616228Z [inf]  ✅ [movieRoutes.js] movieController loaded
2025-12-27T10:57:37.887621886Z [inf]  ✅ [movieRoutes.js] requestValidator loaded
2025-12-27T10:57:37.887627981Z [inf]  ✅ [movieRoutes.js] errorHandler loaded
2025-12-27T10:57:37.887634055Z [inf]  ✅ [movieRoutes.js] Router created
2025-12-27T10:57:37.887639920Z [inf]  🎉 [movieRoutes.js] ALL IMPORTS SUCCESSFUL!
2025-12-27T10:57:37.887646178Z [err]  ❌ [app.js] FAILED to load movieRoutes: Schema does not contain path page
2025-12-27T10:57:37.887652317Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:39.075938743Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:39.075980360Z [inf]  ✅ [app.js] express loaded
2025-12-27T10:57:39.075986158Z [inf]  ✅ [app.js] cors loaded
2025-12-27T10:57:39.075990570Z [inf]  ✅ [app.js] helmet loaded
2025-12-27T10:57:39.075995253Z [inf]  ✅ [app.js] express-rate-limit loaded
2025-12-27T10:57:39.075999404Z [inf]  ✅ [app.js] express-session loaded
